Postcode,PriceAddress,EpcAddress,JaroDistance,Price,PropertyType,New,Duration,CurrentEnergyRating,PotentialEnergyRating,CurrentEnergyEfficiency,PotentialEnergyEfficiency,GlazedArea,HabitableRooms,HeatedRooms,FlatStoreyCount,TotalFloorArea,FloorLevel,PurchaseDate_year,PurchaseDate_month,PurchaseDate_day_of_week,PurchaseDate_hour,EpcInspectionDate_year,EpcInspectionDate_month,EpcInspectionDate_day_of_week,EpcInspectionDate_hour
WV69QH,"142, CODSALL ROAD, ","142, Codsall Road, ",1.0,437500,D,N,F,D,C,55,75,Normal,8.0,8.0,,348.0,NODATA!,2020,May,Wednesday,0,2013,June,Monday,0
WV108AB,"49, CARISBROOKE ROAD, ","49, Carisbrooke Road, Bushbury, ",0.94,140000,S,N,F,B,B,81,85,Normal,5.0,4.0,,84.0,NODATA!,2020,February,Friday,0,2016,June,Friday,0
WV46BJ,"56, GREENOCK CRESCENT, ","56, Greenock Crescent, ",1.0,102000,F,N,L,C,C,78,79,Normal,3.0,3.0,,77.0,2nd,2020,March,Wednesday,0,2012,May,Wednesday,0
WV112QQ,"21, RYAN AVENUE, ","21, Ryan Avenue, ",1.0,141000,S,N,F,D,C,62,79,Normal,5.0,5.0,,77.0,NODATA!,2020,May,Monday,0,2019,October,Wednesday,0
WV147AP,"34, MARBURY DRIVE, ","34, Marbury Drive, ",1.0,122000,S,N,L,C,C,75,75,Normal,3.0,3.0,,56.5,NODATA!,2020,March,Friday,0,2011,September,Thursday,0
WV37AZ,"30, WALFORD AVENUE, ","30, Walford Avenue, ",1.0,162000,S,N,F,D,B,68,88,Normal,4.0,4.0,,81.0,NODATA!,2020,April,Thursday,0,2019,February,Wednesday,0
WV30NL,"45, MARKET SQUARE, ","45, Market Square, ",1.0,115000,F,N,L,C,B,73,84,Normal,3.0,3.0,,88.0,5th,2020,April,Friday,0,2019,March,Tuesday,0
WV146HJ,"19, CHURCH GREEN, ","19, Church Green, ",1.0,106000,T,N,F,D,B,66,83,Normal,4.0,4.0,,88.0,NODATA!,2020,July,Friday,0,2019,September,Tuesday,0
WV44SU,"37, SPRINGHILL GROVE, ","37, Springhill Grove, ",1.0,225000,S,N,F,D,C,55,74,Normal,6.0,6.0,,108.0,NODATA!,2020,June,Wednesday,0,2020,February,Thursday,0
WV149SD,"36, HACKETT CLOSE, ","31, Hackett Close, ",0.97,38000,F,N,L,D,D,56,66,Normal,3.0,3.0,,61.6,1st,2020,July,Wednesday,0,2011,November,Tuesday,0
WV149SD,"8, HACKETT CLOSE, ","8, Hackett Close, ",1.0,150000,T,N,F,C,B,71,85,Normal,5.0,5.0,,72.0,NODATA!,2020,April,Friday,0,2020,February,Tuesday,0
WV38EP,"42, CRANFORD ROAD, ","42, Cranford Road, ",1.0,295000,D,N,F,E,C,53,76,Normal,7.0,7.0,,122.0,NODATA!,2020,January,Friday,0,2019,October,Friday,0
WV109QL,"184, PARK LANE, ","184, Park Lane, ",1.0,92500,S,N,F,E,B,53,83,Normal,4.0,4.0,,73.0,NODATA!,2020,March,Friday,0,2013,April,Wednesday,0
WV109QL,"146, PARK LANE, ","146, Park Lane, ",1.0,133000,S,N,F,E,B,49,84,Normal,4.0,4.0,,73.0,NODATA!,2020,June,Monday,0,2013,March,Friday,0
WV68QF,"13, UPPER STREET, ","13, Upper Street, ",1.0,220000,T,N,F,E,B,49,85,Normal,4.0,4.0,,89.0,NODATA!,2020,May,Friday,0,2019,November,Wednesday,0
WV68NJ,"24, GROVE LANE, ","24, Grove Lane, ",1.0,435000,D,N,F,E,C,50,79,Normal,8.0,8.0,,216.0,NODATA!,2020,July,Friday,0,2012,September,Saturday,0
WV68NJ,"33, GROVE LANE, ","33, Grove Lane, ",1.0,400000,D,N,F,D,C,65,77,Normal,4.0,4.0,,157.0,NODATA!,2020,February,Thursday,0,2016,May,Wednesday,0
WV148EW,"39, BRADLEY LANE, ","39, Bradley Lane, ",1.0,137000,S,N,F,D,B,68,84,Normal,4.0,4.0,,71.0,NODATA!,2020,June,Friday,0,2019,August,Monday,0
WV68RD,"37, LIMES ROAD, ","37, Limes Road, ",1.0,163000,T,N,F,D,B,59,83,Normal,3.0,3.0,,52.0,NODATA!,2020,March,Friday,0,2019,June,Monday,0
WV140AR,"4, WAPENTAKE GARDENS, ","4, Wapentake Gardens, ",1.0,192500,D,Y,F,B,A,83,94,NO DATA!,,,,85.0,NO DATA!,2020,May,Wednesday,0,2020,February,Wednesday,0
WV140AR,"17, WAPENTAKE GARDENS, ","17, Wapentake Gardens, ",1.0,225000,D,Y,F,B,A,83,93,NO DATA!,,,,104.0,NO DATA!,2020,June,Friday,0,2020,March,Wednesday,0
WV140AR,"3, WAPENTAKE GARDENS, ","3, Wapentake Gardens, ",1.0,180000,D,Y,F,B,A,84,95,NO DATA!,,,,85.0,NO DATA!,2020,June,Friday,0,2020,March,Wednesday,0
WV39PX,"5, LARCHES LANE, ","5, Larches Lane, ",1.0,162500,T,N,F,D,B,66,86,Normal,5.0,5.0,,93.0,NODATA!,2020,May,Monday,0,2019,July,Tuesday,0
WV39PX,"30, LARCHES LANE, ","30, Larches Lane, ",1.0,200000,T,N,F,D,C,61,80,Normal,5.0,5.0,,124.0,NODATA!,2020,July,Friday,0,2019,November,Tuesday,0
WV113TW,"87A, LINTHOUSE LANE, ","87a, Linthouse Lane, ",1.0,170000,S,N,F,B,B,83,83,NO DATA!,,,,88.0,NO DATA!,2020,February,Friday,0,2013,April,Friday,0
WV109ER,"27, RINGWOOD ROAD, ","27, Ringwood Road, ",1.0,144000,S,N,F,E,C,51,77,Normal,5.0,3.0,,76.0,NODATA!,2020,January,Friday,0,2016,March,Thursday,0
WV38DR,"62B, BHYLLS LANE, ","62b, Bhylls Lane, ",1.0,189000,S,N,F,D,B,59,84,Normal,5.0,5.0,,84.0,NODATA!,2020,July,Friday,0,2019,December,Monday,0
WV23AG,"48, MASON STREET, ","48, Mason Street, ",1.0,92500,T,N,F,D,B,63,84,Normal,4.0,4.0,,72.0,NODATA!,2020,May,Friday,0,2015,March,Thursday,0
WV46LS,"9, MOUNT ROAD, ","9, Mount Road, Lanesfield, ",0.91,191000,S,N,F,D,B,57,81,More Than Typical,5.0,5.0,,76.0,NODATA!,2020,June,Thursday,0,2019,December,Wednesday,0
WV30AR,"3, RAYLEIGH ROAD, ","3, Rayleigh Road, ",1.0,105000,S,N,F,E,C,53,75,Normal,5.0,5.0,,100.0,NODATA!,2020,June,Friday,0,2012,August,Tuesday,0
WV146NL,"34, WILLENHALL ROAD, ","34, Willenhall Road, ",1.0,185000,D,N,F,D,B,66,81,Normal,5.0,5.0,,70.0,NODATA!,2020,January,Friday,0,2019,October,Wednesday,0
WV112JY,"47, BARNARD ROAD, ","47, Barnard Road, ",1.0,151000,S,N,F,D,B,56,86,Normal,5.0,5.0,,94.0,NODATA!,2020,May,Thursday,0,2013,October,Monday,0
WV38LU,"161, CASTLECROFT ROAD, ","161, Castlecroft Road, ",1.0,230000,D,N,F,E,B,46,84,Normal,4.0,4.0,,75.0,NODATA!,2020,February,Monday,0,2018,November,Friday,0
WV44RY,"33, STOURTON DRIVE, ","33, Stourton Drive, ",1.0,154000,S,N,F,E,B,53,81,Normal,4.0,4.0,,84.0,NODATA!,2020,February,Friday,0,2017,October,Monday,0
