,POSTCODE,TOTAL_FLOOR_AREA,LONG,LAT,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,PROPERTY_TYPE,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,PRICE
0,EC3R 8DR,121.05,-0.084334,51.510177,mid floor,,,Flat,,,575000
1,EC1A 9PN,54.9,-0.098967,51.519788,5th,Y,6.0,Flat,2.0,2.0,765820
2,EC2Y 5AG,38.0,-0.09297000000000001,51.518357,mid floor,,,Flat,,,1200000
3,EC3R 8BT,45.0,-0.084754,51.50978,2nd,N,,Flat,2.0,2.0,735000
4,EC1A 4HU,60.0,-0.09723899999999999,51.518301,2nd,N,,Flat,3.0,3.0,690000
5,EC2Y 8AX,68.14,-0.09200900000000001,51.518603000000006,2nd,N,8.0,Flat,3.0,3.0,935000
6,EC1A 7BD,54.0,-0.09855900000000001,51.518864,mid floor,,,Flat,,,1176500
7,EC2Y 8NE,25.83,-0.097039,51.520672,3rd,N,7.0,Flat,1.0,1.0,920000
8,EC4Y 0DD,78.2,-0.107673,51.512427,1st,N,5.0,Flat,3.0,3.0,935000
9,EC3R 6AP,80.0,-0.080764,51.508439,mid floor,,,Flat,,,1700000
10,E1 8RB,45.5,-0.073549,51.512006,1st,N,7.0,Flat,2.0,2.0,395000
11,EC1Y 0SL,39.0,-0.09738200000000001,51.522484999999996,3rd,N,,Flat,1.0,1.0,320000
12,EC2Y 8DR,112.0,-0.094952,51.520251,19th,N,,Flat,4.0,4.0,1590000
13,EC4A 3EB,83.0,-0.108849,51.514723,top floor,,,Flat,,,865000
14,EC2Y 8DE,35.07,-0.095972,51.52069,8th,N,10.0,Flat,1.0,1.0,495000
15,EC1N 2JT,131.0,-0.10997699999999999,51.517421,ground floor,,,Flat,,,1420250
16,EC3A 5AY,47.0,-0.07888400000000001,51.513649,3rd,N,,Flat,2.0,2.0,100000
17,EC4M 7AS,64.1,-0.101651,51.5135,5th,Y,6.0,Flat,2.0,2.0,600000
18,EC4R 1BR,47.0,-0.093069,51.511571999999994,2nd,N,,Flat,2.0,2.0,520000
19,EC4A 2EJ,27.0,-0.109153,51.514635999999996,1st,N,,Flat,1.0,1.0,390000
20,EC4V 3PA,49.54,-0.096682,51.510585,2nd,N,7.0,Flat,3.0,3.0,525000
21,EC4V 3PN,65.0,-0.096176,51.510622,4th,N,,Flat,3.0,3.0,688888
22,EC1A 7JQ,73.1,-0.099771,51.519124,NO DATA!,,,House,,,2810000
23,EC4V 3EH,70.6,-0.095667,51.510721999999994,5th,N,7.0,Flat,3.0,3.0,455000
24,EC4A 1JQ,52.0,-0.11034000000000001,51.517281,mid floor,,,Flat,,,618000
25,EC4V 3PL,42.24,-0.096176,51.510622,Ground,Y,,Flat,2.0,2.0,491000
26,EC3N 4AL,80.77,-0.07848200000000001,51.509865999999995,2nd,N,5.0,Flat,3.0,3.0,335000
27,EC2Y 8BU,59.9,-0.096027,51.519028000000006,1st,N,10.0,Flat,2.0,2.0,476000
28,EC1A 9LS,33.89,-0.102744,51.517644,7th,Y,,Flat,1.0,1.0,520000
29,EC4V 5DT,61.0,-0.101732,51.512852,2nd,N,,Flat,3.0,3.0,490000
30,EC2Y 8BX,73.85,-0.096588,51.519396,1st,N,6.0,Flat,2.0,2.0,430000
31,EC3R 6AL,53.0,-0.080764,51.508439,mid floor,,,Flat,,,1600000
32,EC4A 1BY,27.0,-0.109901,51.514666,6th,N,,Flat,2.0,2.0,450000
33,EC1Y 0SN,40.0,-0.09738200000000001,51.522484999999996,3rd,Y,,Flat,2.0,2.0,425000
34,EC2Y 8NQ,34.89,-0.09407599999999999,51.520884,3rd,N,6.0,Flat,2.0,2.0,530000
