,POSTCODE,FULLADDRESS,col1
8200,EC4A 1JQ,"ASTON HOUSE, 36 - 37APARTMENT 3FURNIVAL STREET",605000
9355,EC2Y 5AG,ROMAN HOUSEAPARTMENT 27WOOD STREET,732500
9801,EC2Y 8BU,THOMAS MORE HOUSEFLAT 112BARBICAN,975000
10215,EC2Y 8BY,LAUDERDALE TOWERFLAT 33BARBICAN,1350000
25677,EC2Y 8BU,THOMAS MORE HOUSEFLAT 87BARBICAN,895000
26533,EC2Y 8BD,GILBERT HOUSEFLAT 301BARBICAN,478000
55301,EC2Y 8BJ,8THE POSTERN,2100000
55417,EC2Y 8BN,WILLOUGHBY HOUSEFLAT 519BARBICAN,1150000
56478,EC2Y 8AU,SPEED HOUSEFLAT 68BARBICAN,845000
56600,EC2M 4NR,186 - 190FLAT 18BISHOPSGATE,575000
56914,EC2Y 8DE,BRYER COURTFLAT 306BARBICAN,500000
56916,EC2Y 8BU,THOMAS MORE HOUSEFLAT 163BARBICAN,1035000
56922,EC2Y 8DN,DEFOE HOUSEFLAT 34BARBICAN,825000
57000,EC1Y 0SN,CRESCENT HOUSEFLAT 342GOLDEN LANE ESTATE,425000
62813,EC2Y 8BD,GILBERT HOUSEFLAT 311BARBICAN,795000
80880,EC1A 7ES,28FLAT 43BARTHOLOMEW CLOSE,550000
81312,EC2Y 8DN,DEFOE HOUSEFLAT 40BARBICAN,840000
81313,EC2Y 8BX,SEDDON HOUSEFLAT 511BARBICAN,1055000
105981,EC2Y 8BD,GILBERT HOUSEFLAT 702BARBICAN,950000
116719,EC1A 9LS,10APARTMENT 606HOSIER LANE,520000
141286,EC2Y 8DQ,BRETON HOUSEFLAT 72BARBICAN,550000
141287,EC2Y 8DQ,BRETON HOUSEFLAT 72BARBICAN,525000
141566,EC2Y 8NE,JOHN TRUNDLE COURTFLAT 78BARBICAN,475000
142027,EC4A 1JQ,35FLAT 11FURNIVAL STREET,545000
142483,EC2Y 8NA,LAUDERDALE TOWERFLAT 391BARBICAN,1720000
174872,EC2Y 9AZ,5FLAT 1912MOOR LANE,555000
177200,EC2Y 8ND,DEFOE HOUSEFLAT 104BARBICAN,1300000
177225,EC2Y 8BE,BRANDON MEWS23BARBICAN,937960
177532,EC2Y 9AZ,5FLAT 2007MOOR LANE,1850000
178674,EC2Y 8AF,"BLAKE TOWER, 2FLAT 141FANN STREET",900000
179826,E1 8AB,GUINNESS COURTFLAT 1MANSELL STREET,30000000
185185,EC1A 4HU,"LONDON HOUSE, 172FLAT 58ALDERSGATE STREET",746000
185618,EC2Y 8DH,BUNYAN COURT510BARBICAN,1200000
187012,EC1A 7BD,"ABERNETHY HOUSE, 47APARTMENT 1.5BARTHOLOMEW CLOSE",1500000
188519,EC1A 9PN,17FLAT 4LONG LANE,765820
188521,EC1A 9PN,17FLAT 8LONG LANE,636405
203178,EC2Y 8DN,DEFOE HOUSEFLAT 30BARBICAN,800000
215314,EC1A 7BT,75APARTMENT 37LITTLE BRITAIN,800000
215317,EC3N 2AE,41FIRST FLOOR FLATCRUTCHED FRIARS,840000
215331,EC2Y 8DE,BRYER COURTFLAT 304BARBICAN,505000
221741,EC2Y 8NJ,SHAKESPEARE TOWERFLAT 372BARBICAN,1740000
241018,EC1A 7JQ,37CLOTH FAIR,2810000
263772,EC2Y 8NQ,BEN JONSON HOUSEFLAT 347BARBICAN,530000
266431,EC4V 3PA,"SIR JOHN LYON HOUSE, 8FLAT 14HIGH TIMBER STREET",1250000
270368,EC2Y 8DE,BRYER COURTFLAT 608BARBICAN,495000
278515,E1 8RB,MARLYN LODGEBASEMENT AND GROUND FLOORPORTSOKEN STREET,1325000
282871,EC1A 7JQ,25CLOTH FAIR,1850000
286408,EC2Y 8AY,ANDREWES HOUSEFLAT 112BARBICAN,780000
286850,EC4V 5EG,"CATHEDRAL COURT, 68FLAT 2CARTER LANE",975000
288995,EC2Y 8DJ,JOHN TRUNDLE COURTFLAT 39BARBICAN,485000
289383,EC2Y 8DD,CROMWELL TOWERFLAT 123BARBICAN,2000000
316852,EC2Y 8ND,DEFOE HOUSEFLAT 94BARBICAN,885000
318053,EC3R 6AP,"SUGAR QUAY, 1FLAT 109WATER LANE",650000
318070,EC4A 2EJ,4FLAT 20CRANE COURT,390000
320006,EC4A 1BY,CLIFFORD'S INNFLAT 141FETTER LANE,470000
